window_size,pca_variance,pca_dims_used,n_estimators,max_samples,max_features,Val_AUPR,Val_AUROC
50,0.95,469,200,512,1.0,0.1599187606328811,0.509631068607055
30,0.95,282,200,512,0.7,0.1597021983441349,0.5037315945677161
90,0.9,780,300,256,1.0,0.15966258796627664,0.5166835406547945
90,0.95,838,100,512,1.0,0.1593907618292868,0.5033776242551875
90,0.9,780,200,auto,0.7,0.15835717274169556,0.49942038258474186
90,0.9,780,200,256,1.0,0.1582809237126242,0.5100767507965596
50,0.9,438,200,256,0.7,0.1572952695379889,0.5042287592372634
30,0.95,282,100,256,0.7,0.15718813935667564,0.507622647666703
90,0.95,838,200,512,1.0,0.157027450551116,0.5131442088604531
50,0.9,438,200,512,1.0,0.15697125765059608,0.5155137665701901
30,0.9,265,200,auto,0.7,0.156841514174236,0.4930347271046949
90,0.95,838,300,512,0.7,0.15667499659569395,0.5024551612046068
90,0.95,838,300,512,1.0,0.156621065258076,0.5149496839866443
90,0.95,838,200,256,1.0,0.15636638105705963,0.5012532503604641
30,0.95,282,300,auto,1.0,0.15626112125204106,0.5095078804758624
30,0.9,265,300,512,1.0,0.155720586942529,0.5019285471931975
90,0.95,838,100,512,0.7,0.1556619970907972,0.5107069339107793
50,0.9,438,300,auto,0.7,0.15518953722387216,0.5117769392191367
50,0.95,469,200,512,0.7,0.1550461093797999,0.5169598174040981
50,0.95,469,300,512,0.7,0.15403957536841814,0.5046926548580307
30,0.9,265,100,auto,1.0,0.1539360309821707,0.5052131650267827
90,0.9,780,100,256,0.7,0.15348191922731208,0.5024654659819582
90,0.95,838,100,auto,1.0,0.1534755405150301,0.5099499459876831
30,0.9,265,200,256,0.7,0.15346544001699775,0.4983945089563524
90,0.95,838,200,auto,0.7,0.15329233043862783,0.5082886026709086
90,0.9,780,200,512,0.7,0.1532364672967656,0.5073869784175395
50,0.95,469,100,auto,1.0,0.15318564280163882,0.4995844329482043
90,0.9,780,100,auto,1.0,0.153156521687155,0.5013169039077976
30,0.95,283,200,256,0.7,0.15312393290199144,0.5061416051213247
50,0.95,469,100,512,0.7,0.1528320257228562,0.500714560798221
30,0.95,282,100,auto,0.7,0.15268515506404917,0.5030018573751667
50,0.95,469,200,auto,0.7,0.1524822631565538,0.503632595820039
90,0.95,838,300,auto,0.7,0.15224766795546085,0.49829289584199316
30,0.95,282,100,512,0.7,0.15223361411544356,0.4911829970973982
50,0.95,469,200,256,0.7,0.15221850183146185,0.5008812666941029
30,0.95,282,200,auto,0.7,0.15213652365268177,0.49942105266801
30,0.9,265,200,512,0.7,0.1519316282298781,0.49290849534564657
50,0.9,438,300,256,1.0,0.15184496292298924,0.4941198851180217
30,0.95,282,200,auto,1.0,0.15154790459258616,0.500076848837499
90,0.9,780,200,256,0.7,0.15145227631023286,0.4936936732127075
50,0.95,469,200,256,1.0,0.1513907790008471,0.5034575648763164
50,0.9,438,300,512,1.0,0.15122784191711675,0.514283512237221
50,0.9,438,200,512,0.7,0.15116801694740226,0.5108112465528394
90,0.9,780,300,512,0.7,0.15113050860940735,0.49873359898696334
90,0.9,780,300,512,1.0,0.15102211858980286,0.49974449262938025
50,0.95,469,100,auto,0.7,0.15093464271532608,0.494700856867899
30,0.9,265,100,256,1.0,0.150823549194979,0.4937391058196189
90,0.9,780,300,auto,0.7,0.15074165567636152,0.5073190607848154
50,0.95,469,300,512,1.0,0.1505979710291484,0.4959075991686273
30,0.95,283,300,512,0.7,0.15050876392164553,0.5026160270501717
30,0.9,265,100,512,1.0,0.15046291320646193,0.5042588871448015
90,0.95,838,300,256,0.7,0.15045759702286332,0.5004644656693709
30,0.9,265,300,auto,0.7,0.15038829963193354,0.5013864738097109
90,0.95,838,200,auto,1.0,0.15037084689075036,0.501779578301835
30,0.9,265,300,auto,1.0,0.15033654422795864,0.5052323312425433
50,0.9,438,300,auto,1.0,0.15013812823531633,0.49658878354709973
30,0.95,283,200,256,1.0,0.15010954062290144,0.5071021860557631
50,0.9,438,200,256,1.0,0.1500349390405074,0.5023361080033769
50,0.95,469,300,256,0.7,0.15003124669479656,0.5063459147311545
30,0.9,265,300,256,1.0,0.15001439412082557,0.4877559907771388
30,0.95,282,300,256,0.7,0.1495623862061593,0.501513066572664
30,0.9,265,300,512,0.7,0.1495449310124201,0.49626570897066347
50,0.95,469,300,256,1.0,0.1495264374894777,0.4959296793122997
30,0.95,282,300,auto,0.7,0.14947917588936596,0.4969269189891104
30,0.9,265,100,512,0.7,0.14944271043201943,0.503809805461212
90,0.9,780,300,256,0.7,0.14931260929346524,0.49266678194972824
30,0.9,265,300,256,0.7,0.14929248776909046,0.4936647685668362
30,0.95,282,100,256,1.0,0.14917079287435253,0.49586731177619503
90,0.95,838,200,512,0.7,0.1490513067156877,0.49396805938316735
90,0.9,780,100,256,1.0,0.14900499258801492,0.4982168122090116
50,0.9,438,100,auto,1.0,0.1488899056412625,0.49478480404703
50,0.9,438,200,auto,1.0,0.14876708189333354,0.4961479500943796
90,0.9,780,200,512,1.0,0.148739508146391,0.5071811325855433
90,0.9,780,100,512,1.0,0.14855269288976014,0.4973537467230843
50,0.95,469,200,auto,1.0,0.1480448575412638,0.5029079512799406
30,0.9,265,200,256,1.0,0.14798357490070993,0.5069652613943189
50,0.9,439,100,256,0.7,0.14772541258710054,0.5050734020496619
30,0.9,265,200,512,1.0,0.14770508316205588,0.49917075305497266
50,0.9,438,300,512,0.7,0.14757120161288312,0.49683603539603466
30,0.9,265,200,auto,1.0,0.14744306961284465,0.4991614067027445
90,0.9,780,100,auto,0.7,0.14726358696508424,0.498544922721457
50,0.9,438,100,auto,0.7,0.1472601712427306,0.49551323210289167
90,0.95,838,100,256,0.7,0.14708769238493527,0.4981877658686277
90,0.95,838,300,auto,1.0,0.1470558065258148,0.49874467407403633
50,0.9,438,300,256,0.7,0.1468251594415026,0.49249369991689024
50,0.9,438,100,512,1.0,0.14670644374392758,0.49178756398914364
50,0.95,469,100,256,0.7,0.14606124223433498,0.5002070359231525
30,0.95,282,300,256,1.0,0.14588528016067187,0.5036272829512096
50,0.95,469,300,auto,1.0,0.14577602056508088,0.49127125402250377
30,0.95,282,300,512,1.0,0.14576712278401766,0.4996139157009921
50,0.9,438,100,512,0.7,0.14556005671972372,0.4907332696932968
90,0.95,838,100,256,1.0,0.14546194188206574,0.4949844338250029
90,0.9,780,300,auto,1.0,0.14528467845982446,0.5018163967582311
50,0.95,469,100,256,1.0,0.14527254708491855,0.4995176577324537
30,0.95,282,100,512,1.0,0.14501610030412768,0.4878530063057259
30,0.9,265,100,256,0.7,0.14473044053700374,0.4949918617391883
30,0.95,282,200,512,1.0,0.1447105915223916,0.49271195421940056
90,0.95,838,200,256,0.7,0.14469122757831587,0.5025724661345545
90,0.9,780,200,auto,1.0,0.14447037152218928,0.49999099391383883
50,0.95,469,100,512,1.0,0.1442472538284779,0.4919859372942844
90,0.95,838,100,auto,0.7,0.14424067662787715,0.48537682619110933
90,0.95,838,300,256,1.0,0.14410244454274035,0.4927987063448184
50,0.95,469,300,auto,0.7,0.14378022121691458,0.49158113825158695
30,0.9,265,100,auto,0.7,0.14359253155218948,0.4888737283174378
90,0.9,780,100,512,0.7,0.14350708469957707,0.5015295550444168
50,0.9,438,100,256,1.0,0.1424401871859636,0.4986992324372998
50,0.9,438,200,auto,0.7,0.1388890619585219,0.4904265084621844
30,0.95,282,100,auto,1.0,0.1372708028440385,0.4801356245362192
