window_size,pca_variance,pca_n_components_used,n_estimators,max_samples,max_features,Val_AUPR,Val_AUROC
90,0.99,888,400,256,0.7,0.15899959829942828,0.5194470433446053
90,0.95,838,200,auto,1.0,0.15890313374274628,0.5117803315985316
60,0.9,524,200,256,1.0,0.1588608219874715,0.5049897679893997
30,0.99,297,400,512,0.7,0.15804911352671971,0.5051123622560978
90,0.95,838,400,512,1.0,0.15796848133099323,0.5065669722430038
90,0.95,838,400,256,0.7,0.15782243418316166,0.5104803126760996
60,0.9,525,400,512,0.7,0.1573583523069103,0.5082341029798418
30,0.99,297,400,256,0.7,0.15699181834254883,0.5035738837264983
90,0.9,780,200,256,0.7,0.1568625263246829,0.5100273847045688
90,0.99,888,400,512,1.0,0.15669013141251997,0.5087169617341101
30,0.9,265,400,512,0.7,0.15666404201672618,0.4947907581008424
60,0.95,561,200,512,1.0,0.156459229800348,0.5029413160971653
90,0.99,888,200,512,0.7,0.1562357578781836,0.5082763197867929
60,0.9,524,400,auto,1.0,0.15619242261778232,0.5033761531695542
60,0.99,592,200,512,1.0,0.15610063817940567,0.5079336138485004
90,0.99,888,400,auto,0.7,0.1557029389713484,0.4997022653730647
60,0.9,524,200,auto,0.7,0.1554772094367875,0.4996123054975122
30,0.9,265,400,256,0.7,0.15524941833733333,0.5108989472940888
60,0.9,524,400,512,1.0,0.1547429044896113,0.5048985263939418
90,0.95,838,200,auto,0.7,0.1544760570148931,0.48959939470791447
30,0.99,297,400,256,1.0,0.1542785680904707,0.5026353805086351
30,0.95,282,400,512,0.7,0.15420538674927264,0.5065251545388267
30,0.99,297,400,512,1.0,0.154204494156661,0.5041072717151516
90,0.95,838,200,512,1.0,0.154138504490317,0.504143195967462
30,0.95,282,200,auto,1.0,0.15413366702357384,0.49466102873073914
30,0.9,265,200,auto,0.7,0.15376959462267611,0.5050891159424402
60,0.95,562,400,auto,1.0,0.15371637913259492,0.5084356488509073
30,0.9,265,200,512,0.7,0.15367727417424978,0.5018913205555227
90,0.9,780,400,256,1.0,0.15358535663052333,0.5081926009234339
30,0.95,282,400,auto,1.0,0.1534969355403085,0.5082912422909451
60,0.95,562,400,auto,0.7,0.15343665883895477,0.5096126454642202
30,0.9,265,400,auto,0.7,0.15343387245290285,0.4969491662627724
30,0.95,282,200,256,0.7,0.15339514591811299,0.5047412637204651
30,0.9,265,400,256,1.0,0.1533272054186589,0.5037274979855166
60,0.99,592,200,256,1.0,0.15300739798624413,0.5034330023082527
30,0.9,265,200,256,0.7,0.15296671207122287,0.5036234307595366
60,0.99,592,200,auto,0.7,0.15294095096171717,0.49478970376843107
60,0.99,592,400,512,0.7,0.1528476758785669,0.5070134750288493
90,0.95,838,400,512,0.7,0.1525138709589197,0.49674191796823497
60,0.99,592,400,512,1.0,0.15249483008579073,0.5019910681847637
60,0.9,524,200,256,0.7,0.15240325366503144,0.5044132549052155
30,0.9,265,200,auto,1.0,0.15236952128539752,0.5067344324550517
90,0.9,780,400,512,1.0,0.15220950100900843,0.49834273064131535
30,0.9,265,200,512,1.0,0.15213079488943893,0.48922795447537415
60,0.95,561,200,auto,1.0,0.15212330381926864,0.4965791156198865
90,0.95,838,200,256,1.0,0.15206288645965846,0.5002351647514923
90,0.99,888,400,512,0.7,0.15202671679969842,0.5043128090909517
60,0.9,524,400,256,0.7,0.1520082635152513,0.49451843310032617
30,0.99,297,200,256,0.7,0.15183766695288523,0.4974610993092945
90,0.9,780,200,auto,0.7,0.15181984841426632,0.5027056998933966
30,0.95,283,400,512,1.0,0.151730658906238,0.49925283134297294
60,0.95,562,400,512,0.7,0.1516300378429672,0.5109103525637956
60,0.99,592,400,auto,0.7,0.15160248301414528,0.5142777643946511
30,0.95,282,400,256,0.7,0.1515948625477963,0.5011302925539617
30,0.95,283,200,auto,0.7,0.151264258864613,0.5067333409384969
60,0.95,562,200,512,0.7,0.15118874256503018,0.5029294525642054
90,0.95,838,200,256,0.7,0.1510652588444918,0.507490528246338
30,0.9,265,200,256,1.0,0.15106180334726976,0.5057201587731804
60,0.99,592,200,512,0.7,0.15096483991252685,0.496624046431286
30,0.9,265,400,512,1.0,0.15087512086705707,0.49908781545474673
60,0.99,592,200,256,0.7,0.15074025163500887,0.5070533619294066
90,0.99,888,200,auto,0.7,0.1504052566641118,0.5025846485070335
30,0.99,297,200,256,1.0,0.15035321676875232,0.5104177002815843
90,0.9,780,200,auto,1.0,0.1503455436308197,0.5018803773053719
90,0.9,780,200,512,1.0,0.15023845874152142,0.49575873859862957
60,0.9,524,200,512,1.0,0.15007443086437044,0.5049997353454578
60,0.9,524,400,256,1.0,0.14982841677871775,0.4968559491873341
30,0.99,297,400,auto,0.7,0.14979533361808653,0.5080517935232702
30,0.95,282,200,512,1.0,0.14960572922870707,0.5086916435403686
90,0.9,780,200,256,1.0,0.14949159211347507,0.5018740580508769
90,0.99,888,400,auto,1.0,0.14938622809894342,0.5006707589883655
90,0.9,780,400,256,0.7,0.1493427677761876,0.5016524538756165
60,0.99,592,400,auto,1.0,0.14901386001152223,0.49722159252365095
90,0.9,780,400,auto,1.0,0.14900268352803675,0.5002394430396835
90,0.9,780,400,512,0.7,0.14882459751178412,0.5002987491685804
60,0.95,561,200,256,0.7,0.1486981414443685,0.4985600486975362
30,0.9,265,400,auto,1.0,0.14866092606157238,0.49925386611011463
60,0.99,592,400,256,1.0,0.14837074034531111,0.5027704390467184
60,0.9,524,400,auto,0.7,0.14832250807886016,0.5059087194037284
90,0.95,838,200,512,0.7,0.14820444686891202,0.5033514234920324
60,0.95,562,400,256,1.0,0.14819280912110008,0.5059281769109857
30,0.95,282,400,256,1.0,0.14819144296854458,0.48958661158985617
90,0.95,838,400,256,1.0,0.14797555120546427,0.4955225320941658
30,0.95,283,400,auto,0.7,0.1479725215542747,0.499049182824582
30,0.99,297,400,auto,1.0,0.14740761964495844,0.5027932855310997
60,0.9,524,200,auto,1.0,0.1470531715383976,0.4928723992903175
60,0.95,562,200,auto,0.7,0.14704673050361675,0.48354579975080814
60,0.95,562,200,256,1.0,0.14683409900218858,0.49642726225769496
