window_size,pca_components,n_estimators,max_features,Val_AUPR,Val_AUROC
30,10,100,1.0,0.15756950706054546,0.5054697078089632
30,20,100,1.0,0.1572700773097453,0.5084213803850202
100,5,100,0.7,0.15581940851949377,0.5009105532085902
30,5,200,0.7,0.15495380054090757,0.49813525973617395
30,5,200,1.0,0.15479747557472176,0.5011066402641252
30,10,200,0.7,0.1544115274509086,0.5029586232017265
30,20,100,0.7,0.1539121653278013,0.5144961603435448
50,20,200,0.7,0.15364126680840312,0.4972597761017439
100,20,200,0.7,0.15319583478820487,0.49620026810877416
100,20,200,1.0,0.15300688044957267,0.5056685537127753
30,20,200,0.7,0.152376954960317,0.5103564417739764
50,5,100,1.0,0.15185073857700837,0.5049470748914731
100,10,200,1.0,0.15160076208168505,0.49343494891878326
100,10,100,0.7,0.15147582487197858,0.5042063447180054
30,10,200,1.0,0.15136298729572062,0.5029397137261147
50,10,100,1.0,0.15120303926996337,0.5012212006641807
50,20,200,1.0,0.15106343993632093,0.4944347751976718
100,20,100,0.7,0.15101065967657817,0.4955574374636654
50,5,200,0.7,0.15091035024990818,0.4956428495421341
30,20,200,1.0,0.15051656585689385,0.5007123814666319
100,5,100,1.0,0.15029640892335838,0.4942924487294897
30,5,100,1.0,0.15017234071460256,0.4990941683404962
100,5,200,0.7,0.15006365016833567,0.4981329829112194
50,20,100,0.7,0.14957140696196763,0.49691798738288673
100,10,200,0.7,0.1493309869858113,0.5057960816945875
30,5,100,0.7,0.1492936083524321,0.4995570018406921
50,10,100,0.7,0.1484116615823512,0.4925597953053732
100,5,200,1.0,0.1482217417773222,0.4908391254569783
30,10,100,0.7,0.1475090221933107,0.506815520837472
50,10,200,1.0,0.14731507554526585,0.501304749235808
100,10,100,1.0,0.14730444429901457,0.4875242606055302
50,5,200,1.0,0.14623311507077524,0.4932711095699074
50,5,100,0.7,0.14587696253076538,0.49497915479869836
50,20,100,1.0,0.1447376330116875,0.4975090436555823
50,10,200,0.7,0.14439826063521374,0.49644220417649954
100,20,100,1.0,0.14219008042469852,0.49453580686178034
